link,term,definition
"autonomous","Autonomous","also known as ""Auto"", is the first 15 seconds of the match when the robots are completely driverless, running on pre-programmed instructions. This was used prior to 2019."
"bagday","Bag Day","see ""Stop Build"""
"bluealliance","Blue Alliance","the website that collects FRC stats, including live tournament data. (www.thebluealliance.com)"
"bus","Bus","a wire that connects specific devices and communicates to them within the robot."
"canbus","Can Bus","a ""bus"" for mechanical systems. They are the green and yellow wires on the robot."
"caw/bom","Cost Accounting Worksheet/Bill of Materials","a list of every component on the robot and its cost."
"champs","Champs","also known as FIRST Championships. Where regional/district winners, chairman’s, Engineering Inspiration, and wild card recipients from all over the world compete. Hosted in Houston and Detroit."
"cheesecake","Cheesecake","when a team builds a robot part, not for their robot, but for an alliance partner. For example building a blocker to put on a partner robot in a match."
"cheesypoofs","Cheesy Poofs","FRC team 254 from California, one of the best teams in the world."
"chiefdelphi","Chief Delphi","a forum for teams around the world to ask and answer questions."
"churro","Churro","a piece of aluminum structure used for support. Shaped like the food churro."
"cim","CIM","a motor usually used in drive trains."
"defense","Defense","preventing the other alliance from scoring; varies from year to year."
"einstein","Einstein","the final field at champs."
"first","FIRST","For Inspiration and Recognition of Science and Technology"
"fms","FMS","short for ""Field Management System,"" the FMS connects to all robots and runs the match."
"frc","FRC","short for FIRST Robotics Competition; the FIRST program that we compete in"
"fta","FTA","FIRST Technical Advisor makes sure the field runs smoothly during matches."
"graciousprofessionalism","Gracious Professionalism®","part of the ethos of FIRST. It's a way of doing things that encourages high-quality work, emphasizes the value of others, and respects individuals and the community. (This definition was taken from the FIRST website)"
"gyro","Gyro","a sensor that detects rotational movement."
"infonight","Information Night","a night roughly a month after school begins. The team gives a 1 hour presentation about KnightKrawler for new students who are interested in joining the team."
"inspector","Inspector","a person who makes sure that robots are safe and legal."
"minnemini","Minne Mini","an offseason competition in November hosted by FRC Team 2169."
"mri","MRI","Short for ""Minnesota Robotics Invitational"", MRI is an offseason competition hosted by FRC Team 2846."
"omnimecanum","Omni-Mecanum","a type of wheel that allows the robot to move sideways."
"pok","POK","short for ""Parents of KnightKrawler"""
"raspberrypie","Raspberry Pie","a mini computer."
"sandstorm","Sandstorm","the first 15 seconds of the match. Robots can be autonomous (see ""Autonomous"") or camera operated. New in 2019."
"scouting","Scouting","watching and analyzing other teams during competitions to collect data for team selection. We use our app FRC Krawler."
"stopbuild","Stop Build","the last day teams are allowed to work on their robot during the 6 week build period, after which, they must put their robot in a bag until their first competition."
"strategy","Strategy","planning for optimal performance in competition and alliance selection."
"swerve","Swerve","all four wheels can rotate right to left."
"swisscheese","Swiss Cheese","drill many holes to lose weight."
"talon","Talon","a motor controller."
"vex-pro","Vex-Pro","a vendor that sells parts we use on our robot."
"weekzero","Week Zero","a practice competition hosted the last week of build season."
"80-20","80-20","a type of structural metal that has grooves on all four sides. Used mostly for mounting support."
